Cuijpers Appendix E Study,Cuijpers Appendix E Study (raw),Cuijpers Full Reference,Present in mmc3 MS depression-included studies
"Harley, 2008","Harley, 2008","Harley R, Sprich S, Safren S, Jacobo M, Fava M. Adaptation of dialectical behavior therapy skills training group for treatment-resistant depression. Journal of Nervous and Mental Disease. 2008;196(2):136-43.",False
"Hassiotis, 2013","Hassiotis, 2013","Hassiotis A, Serfaty M, Azam K, Strydom A, Blizard R, Romeo R, et al. Manualised individual cognitive behavioural therapy for mood disorders in people with mild to moderate intellectual disability: A feasibility randomised controlled trial. Journal of Affective Disorders. 2013;151(1):186-95.",False
"Hautzinger, 2004","Hautzinger, 2004","Hautzinger M, Welz S. Kognitive Verhaltenstherapie bei Depressionen im Alter: Ergebnisse einer kontrollierten Vergleichsstudie unter ambulanten Bedingungen an Depressionen mittleren Schweregrads. = Cognitive behavioral therapy for depressed older outpatients: A controlled, randomized trial. Zeitschrift für Gerontologie und Geriatrie. 2004;37(6):427-35.",False
"Hautzinger, 2008","Hautzinger, 2008","Hautzinger M, Welz S. Kurz- und längerfristige wirksamkeit psychologischer interventionen bei depressionen im alter. = Short- and long-term efficacy of psychological intervention for depression in older adults. Zeitschrift für Klinische Psychologie und Psychotherapie: Forschung und Praxis. 2008;37(1):52-60.",False
"Hayden, 2012","Hayden, 2012","Hayden T, Perantie DC, Nix BD, Barnes LD, Mostello DJ, Holcomb WL, et al. Treating prepartum depression to improve infant developmental outcomes: A study of diabetes in pregnancy. Journal of clinical psychology in medical settings. 2012;19(3):285-92.",False
"Heckman, 2017","Heckman, 2017","Heckman, T. G., Heckman, B. D., Anderson, T., Lovejoy, T. I., Markowitz, J. C., Shen, Y., & Sutton, M. (2017). Tele-interpersonal psychotherapy acutely reduces depressive symptoms in depressed HIV-infected rural persons: A randomized clinical trial. Behavioral Medicine, 43(4), 285-295.",False
"Hegerl, 2010","Hegerl, 2010","Hegerl U, Hautzinger M, Mergl R, Kohnen R, Sch¸tze M, Scheunemann W, et al. Effects of pharmacotherapy and psychotherapy in depressed primary-care patients: A randomized, controlled trial including a patients' choice arm. International Journal of Neuropsychopharmacology. 2010;13(1):31-44.",False
"Hemanny, 2019","Hemanny, 2019","Hemanny, C., Carvalho, C., Maia, N., Reis, D., Botelho, A. C., Bonavides, D., . . . De Oliveira, I. R. (2019). Efficacy of trial-based cognitive therapy, behavioral activation and treatment as usual in the treatment of major depressive disorder: Preliminary findings from a randomized clinical trial. CNS Spectrums. doi:10.1017/S1092852919001457",False
"Hermanns, 2015","Hermanns, 2015","Hermanns N, Schmitt A, Gahr A, Herder C, Nowotny B, Roden M, et al. The effect of a diabetes-specific cognitive behavioral treatment program (DIAMOS) for patients with diabetes and subclinical depression: Results of a randomized controlled trial. Diabetes care. 2015;38(4):551-60.",False
"Herrmann-Lingen, 2016","Herrmann-Lingen, 2016","Herrmann-Lingen C, Beutel ME, Bosbach A, Deter HC, Fritzsche K, Hellmich M, et al. A stepwise psychotherapy intervention for reducing risk in coronary artery disease (SPIRR-CAD): Results of an observer-blinded, multicenter, randomized trial in depressed patients with coronary artery disease. Psychosomatic Medicine. 2016;78(6):704-15.",False
"Hofheinz, 2019","Hofheinz, 2019","Hofheinz, C., Reder, M., & Michalak, J. (2019). How specific is cognitive change? A randomized controlled trial comparing brief cognitive and mindfulness interventions for depression. research : journal of the Society for Research, 1-17. doi:10.1080/10503307.2019.1685138",False
"Hoifodt, 2013","Hoifodt, 2013","Hoifodt, R. S., Lillevoll, K. R., Griffiths, K. M., Wilsgaard, T., Eisemann, M., Waterloo, K., & Kolstrup, N. (2013). The clinical effectiveness of web-based cognitive behavioral therapy with face-to-face therapist support for depressed primary care patients: randomized controlled trial. J Med Internet Res, 15(8), e153. doi:10.2196/jmir.2714",False
"Holden, 1989","Holden, 1989","Holden JM, Sagovsky R, Cox JL. Counselling in a general practice setting: Controlled study of heath visitor intervention in treatment of postnatal depression. British Medical Journal. 1989;298(6668):223-6.",False
"Honey, 2002","Honey, 2002","Honey KL, Bennett P, Morgan M. A brief psycho‐educational group intervention for postnatal depression. British Journal of Clinical Psychology. 2002;41(4):405-9.",False
"Hopko, 2011","Hopko, 2011","Hopko DR, Armento ME, Robertson SM, Ryba MM, Carvalho JP, Colman LK, et al. Brief behavioral activation and problem-solving therapy for depressed breast cancer patients: Randomized trial. Journal of Consulting and Clinical Psychology. 2011;79(6):834-49.",False
"Horrell, 2014","Horrell, 2014","Horrell L, Goldsmith KA, Tylee AT, Schmidt UH, Murphy CL, Bonin E-M, et al. One-day cognitive–behavioural therapy self-confidence workshops for people with depression: Randomised controlled trial. The British Journal of Psychiatry. 2014;204(3):222-33.",False
"Hou, 2014","Hou, 2014","Hou Y, Hu P, Zhang Y, Lu Q, Wang D, Yin L, et al. Cognitive behavioral therapy in combination with systemic family therapy improves mild to moderate postpartum depression. Revista Brasileira de Psiquiatria. 2014;36(1):47-52.",False
"Huang, 2016","Huang, 2016","Huang, C.-Y., Lai, H.-L., Chen, C.-I., Lu, Y.-C., Li, S.-C., Wang, L.-W., & Su, Y. (2016). Effects of motivational enhancement therapy plus cognitive behaviour therapy on depressive symptoms and health-related quality of life in adults with type II diabetes mellitus: A randomised controlled trial. Quality of Life Research: An International Journal of Quality of Life Aspects of Treatment, Care & Rehabilitation, 25(5), 1275-1283.",False
