Cuijpers Appendix E Study,Cuijpers Full Reference,mmc3 Excluded Study ID,mmc3 Reason for Exclusion
"Dowrick, 2000","Dowrick C, Dunn G, Ayuso-Mateos JL, Dalgard OS, Page H, Lehtinen V. Problem solving treatment and group psychoeducation for depression: Multicentre randomised controlled trial Outcomes of Depression International Network [ODIN] Group. BMJ. 2000;321(7274):1450-4.",Dowrick 2000,Population: <80% first-line treatment
"Driessen, 2013","Driessen E, Van HL, Don FJ, Peen J, Kool S, Westra D, et al. The efficacy of cognitive-behavioral therapy and psychodynamic therapy in the outpatient treatment of major depression: A randomized clinical trial. American Journal of Psychiatry. 2013;170(9):1041-50.",Driessen 2013/2016,Population: <80% non-chronic depression
"Duarte, 2009","Duarte PS, Miyazaki MC, Blay SL, Sesso R. Cognitive-behavioral group therapy is an effective treatment for major depression in hemodialysis patients. Kidney international. 2009;76(4):414-21.",Duarte 2009,Population: Trial specifically recruited participants with physical health conditions in addition to depression
"Dwight-Johnson, 2011","Dwight-Johnson M, Aisenberg E, Golinelli D, Hong S, O'Brien M, Ludman E. Telephone-based cognitive-behavioral therapy for Latino patients living in rural areas: A randomized pilot study. Psychiatric Services. 2011;62(8):936-42.",Dwight-Johnson 2011,Population: <80% first-line treatment
"Ekeblad, 2016","Ekeblad, A., Falkenström, F., Andersson, G., Vestberg, R., & Holmqvist, R. (2016). Randomized trial of interpersonal psychotherapy and cognitive behavioral therapy for major depressive disorder in a community‐based psychiatric outpatient clinic. Depress Anxiety, 33(12), 1090-1098.",Ekeblad 2016,Population: Further-line treatment
"Ekers, 2011","Ekers D, Richards D, McMillan D, Bland JM, Gilbody S. Behavioural activation delivered by the non-specialist: Phase II randomised controlled trial. The British Journal of Psychiatry. 2011;198(1):66-72.",Ekers 2011,Population: <80% first-line treatment
"Ekkers, 2011","Ekkers W, Korrelboom K, Huijbrechts I, Smits N, Cuijpers P, Gaag M. Competitive memory training for treating depression and rumination in depressed older adults: A randomized controlled trial. Behaviour Research and Therapy. 2011;49(10):588-96.",Ekkers 2011,Population: <80% first-line treatment
"Embling, 2002",Embling S. The effectiveness of cognitive behavioural therapy in depression. Nursing Standard. 2002;17(14-15):33-41.,Embling 2002,Population: Further-line treatment
"Euteneuer, 2017","Euteneuer, F., Dannehl, K., Del Rey, A., Engler, H., Schedlowski, M., & Rief, W. (2017). Immunological effects of behavioral activation with exercise in major depression: An exploratory randomized controlled trial. Translational Psychiatry, 7(5).",Euteneuer 2017,Population: <80% first-line treatment
"Faramarzi, 2008","Faramarzi M, Alipor A, Esmaelzadeh S, Kheirkhah F, Poladi K, Pash H. Treatment of depression and anxiety in infertile women: Cognitive behavioral therapy versus fluoxetine. Journal of Affective Disorders. 2008;108(1-2):159-64.",Faramarzi 2008,Population: Trial specifically recruited participants with physical health conditions in addition to depression
"Floyd, 2004","Floyd M, Scogin F, McKendree-Smith NL, Floyd DL, Rokke PD. Cognitive therapy for depression: A comparison of individual psychotherapy and bibliotherapy for depressed older adults. Behavior modification. 2004;28(2):297-318.",Floyd 2004,Population: <80% first-line treatment
"Folke, 2012","Folke F, Parling T, Melin L. Acceptance and commitment therapy for depression: A preliminary randomized clinical trial for unemployed on long-term sick leave. Cognitive and Behavioral Practice. 2012;19(4):583-94.",Folke 2012,Population: <80% first-line treatment
"Freire, 2015","Freire E, Williams C, Messow C-M, Cooper M, Elliott R, McConnachie A, et al. Counselling versus low-intensity cognitive behavioural therapy for persistent sub-threshold and mild depression (CLICD): A pilot/feasibility randomised controlled trial. BMC psychiatry. 2015;15.",Freire 2015,Population: <80% non-chronic depression
"Furukawa, 2012","Furukawa TA, Horikoshi M, Kawakami N, Kadota M, Sasaki M, Sekiya Y, et al. Telephone cognitive-behavioral therapy for subthreshold depression and presenteeism in workplace: A randomized controlled trial. PLoS One. 2012;7(4):e35330.",Furukawa 2012,Intervention: Psychological intervention not of interest
"García-Peña, 2015","García-Peña C, Vázquez-Estupiñan F, Avalos-Pérez F, Jiménez LVR, Sánchez-Garcia S, Juárez-Cedillo T. Clinical effectiveness of group cognitive-behavioural therapy for depressed older people in primary care: A randomised controlled trial. Salud Mental. 2015;38(1):33-9.",Garcia 2015,Baseline severity cannot be categorised
"Gellis, 2008","Gellis ZD, McGinty J, Tierney L, Jordan C, Burton J, Misener E. Randomized controlled trial of problem-solving therapy for minor depression in home care. Research on Social Work Practice. 2008;18(6):596-606.",Gellis 2008,Population: Trial specifically recruited participants with physical health conditions in addition to depression
"Geraedts, 2014","Geraedts AS, Kleiboer AM, Wiezer NM, van Mechelen W, Cuijpers P. Short-term effects of a web-based guided self-help intervention for employees with depressive symptoms: Randomized controlled trial. Journal of Medical Internet Research. 2014;16(5):e121.",Geraedts 2014c,Secondary analysis with no new relevant or usable data
"Hagen, 2017","Hagen, R., Hjemdal, O., Solem, S., Kennair, L. E. O., Nordahl, H. M., Fisher, P., & Wells, A. (2017). Metacognitive therapy for depression in adults: A waiting list randomized controlled trial with six months follow-up. Frontiers in Psychology, 8.",Hagen 2017,Population: >20% have coexisting personality disorder
"Hallford, 2016","Hallford DJ, Mellor D. Autobiographical memory-based intervention for depressive symptoms in young adults: A randomized controlled trial of cognitive-reminiscence therapy. Psychotherapy and Psychosomatics. 2016;85(4):246-9.",Hallford 2016,Intervention: Psychological intervention not of interest
"Hallgren, 2015","Hallgren M, Kraepelien M, Öjehagen A, Lindefors N, Zeebari Z, Kaldo V, et al. Physical exercise and internet-based cognitive-behavioural therapy in the treatment of depression: Randomised controlled trial. British Journal of Psychiatry. 2015;207(3):227-34.",Hallgren 2015/2016_Helgadottir 2016/2017,Population: <80% first-line treatment
"Harley, 2008","Harley R, Sprich S, Safren S, Jacobo M, Fava M. Adaptation of dialectical behavior therapy skills training group for treatment-resistant depression. Journal of Nervous and Mental Disease. 2008;196(2):136-43.",Harley 2008,Population: Further-line treatment
"Hautzinger, 2004","Hautzinger M, Welz S. Kognitive Verhaltenstherapie bei Depressionen im Alter: Ergebnisse einer kontrollierten Vergleichsstudie unter ambulanten Bedingungen an Depressionen mittleren Schweregrads. = Cognitive behavioral therapy for depressed older outpatients: A controlled, randomized trial. Zeitschrift für Gerontologie und Geriatrie. 2004;37(6):427-35.",Hautzinger 2004,Non-English language paper
"Hautzinger, 2008","Hautzinger M, Welz S. Kurz- und längerfristige wirksamkeit psychologischer interventionen bei depressionen im alter. = Short- and long-term efficacy of psychological intervention for depression in older adults. Zeitschrift für Klinische Psychologie und Psychotherapie: Forschung und Praxis. 2008;37(1):52-60.",Hautzinger 2008,Non-English language paper
"Hayden, 2012","Hayden T, Perantie DC, Nix BD, Barnes LD, Mostello DJ, Holcomb WL, et al. Treating prepartum depression to improve infant developmental outcomes: A study of diabetes in pregnancy. Journal of clinical psychology in medical settings. 2012;19(3):285-92.",Hayden 2012,Population: Antenatal or postnatal depression
"Hegerl, 2010","Hegerl U, Hautzinger M, Mergl R, Kohnen R, Sch¸tze M, Scheunemann W, et al. Effects of pharmacotherapy and psychotherapy in depressed primary-care patients: A randomized, controlled trial including a patients' choice arm. International Journal of Neuropsychopharmacology. 2010;13(1):31-44.",Hegerl 2010,Population: <80% non-chronic depression
"Hemanny, 2019","Hemanny, C., Carvalho, C., Maia, N., Reis, D., Botelho, A. C., Bonavides, D., . . . De Oliveira, I. R. (2019). Efficacy of trial-based cognitive therapy, behavioral activation and treatment as usual in the treatment of major depressive disorder: Preliminary findings from a randomized clinical trial. CNS Spectrums. doi:10.1017/S1092852919001457",Hemanny 2019,Population: Further-line treatment
"Hoifodt, 2013","Hoifodt, R. S., Lillevoll, K. R., Griffiths, K. M., Wilsgaard, T., Eisemann, M., Waterloo, K., & Kolstrup, N. (2013). The clinical effectiveness of web-based cognitive behavioral therapy with face-to-face therapist support for depressed primary care patients: randomized controlled trial. J Med Internet Res, 15(8), e153. doi:10.2196/jmir.2714",Hoifodt 2013,Population: <80% first-line treatment
"Hopko, 2011","Hopko DR, Armento ME, Robertson SM, Ryba MM, Carvalho JP, Colman LK, et al. Brief behavioral activation and problem-solving therapy for depressed breast cancer patients: Randomized trial. Journal of Consulting and Clinical Psychology. 2011;79(6):834-49.",Hopko 2011,Population: Trial specifically recruited participants with physical health conditions in addition to depression
"Horrell, 2014","Horrell L, Goldsmith KA, Tylee AT, Schmidt UH, Murphy CL, Bonin E-M, et al. One-day cognitive–behavioural therapy self-confidence workshops for people with depression: Randomised controlled trial. The British Journal of Psychiatry. 2014;204(3):222-33.",Horrell 2014,Intervention: Psychological intervention not of interest
"Jarrett, 1999","Jarrett RB, Schaffer M, McIntire D, Witt-Browder A, Kraft D, Risser RC. Treatment of atypical depression with cognitive therapy or phenelzine: A double-blind, placebo-controlled trial. Archives of General Psychiatry. 1999;56(5):431-7.",Jarrett 1999,Population: Chronic depression
"Johansson, 2012 - I","Johansson R, Ekbladh S, Hebert A, Lindström M, Möller S, Petitt E, et al. Psychodynamic guided self-help for adult depression through the internet: A randomised controlled trial. PloS One. 2012;7(5):e38021.",Johansson 2012a,Population: <80% first-line treatment
"Jordans, 2019","Jordans, M. J. D., Luitel, N. P., Garman, E., Kohrt, B. A., Rathod, S. D., Shrestha, P., . . . Patel, V. (2019). Effectiveness of psychological treatments for depression and alcohol use disorder delivered by community-based counsellors: Two pragmatic randomised controlled trials within primary healthcare in Nepal. British Journal of Psychiatry, 215(2), 485-493. doi:10.1192/bjp.2018.300",Jordans 2019,Population: <80% first-line treatment
"Kay-Lambkin, 2011","Kay-Lambkin FJ, Baker AL, Kelly B, Lewin TJ. Clinician-assisted computerised versus therapist-delivered treatment for depressive and addictive disorders: A randomised controlled trial. The Medical journal of Australia. 2011;195(3):S44-50.",Kay-Lambkin 2011,Secondary analysis with no new relevant or usable data
"Kenter, 2016","Kenter, R. M. F., Cuijpers, P., Beekman, A., & van Straten, A. (2016). Effectiveness of a Web-based guided self-help intervention for outpatients with a depressive disorder: Short-term results from a randomized controlled trial. Journal of medical Internet research, 18(3).",Kenter 2016,Population: <80% first-line treatment
"Kessler, 2009","Kessler D, Lewis G, Kaur S, Wiles N, King M, Weich S, et al. Therapist-delivered Internet psychotherapy for depression in primary care: A randomised controlled trial. Lancet. 2009;374(9690):628-34.",Kessler 2009,Population: <80% first-line treatment
"Kivi, 2014","Kivi M, Eriksson MCM, Hange D, Petersson E-L, Vernmark K, Johansson B, et al. Internet-based therapy for mild to moderate depression in Swedish primary care: Short term results from the PRIM-NET randomized controlled trial. Cognitive Behaviour Therapy. 2014;43(4):289-98.",Kivi 2014/Eriksson 2017/Hange 2017,Population: <80% first-line treatment
"Kleiboer, 2015","Kleiboer A, Donker T, Seekles W, van Straten A, Riper H, Cuijpers P. A randomized controlled trial on the role of support in Internet-based problem solving therapy for depression and anxiety. Behaviour Research and Therapy. 2015;72:63-71.",Kleiboer 2015,Completion data <50%/>50% left treatment early
"Korte, 2012","Korte J, Bohlmeijer ET, Cappeliez P, Smit F, Westerhof GJ. Life review therapy for older adults with moderate depressive symptomatology: A pragmatic randomized controlled trial. Psychological Medicine. 2012;42(6):1163-73.",Korte 2012,Intervention: Psychological intervention not of interest
"Koszycki, 2012","Koszycki D, Bisserbe J-C, Blier P, Bradwejn J, Markowitz J. Interpersonal psychotherapy versus brief supportive therapy for depressed infertile women: First pilot randomized controlled trial. Archives of Women's Mental Health. 2012;15(3):193-201.",Koszycki 2012,Population: Trial specifically recruited participants with physical health conditions in addition to depression
"Landreville, 1997","Landreville P, Bissonnette L. Effects of cognitive bibliotherapy for depressed older adults with a disability. Clinical Gerontologist. 1997;17(4):35-55.",Landreville 1997,Population: Trial specifically recruited participants with physical health conditions in addition to depression
"Lappalainen, 2015","Lappalainen P, Langrial S, Oinas-Kukkonen H, Tolvanen A, Lappalainen R. Web-based acceptance and commitment therapy for depressive symptoms with minimal support: A randomized controlled trial. Behavior modification. 2015;39(6):805-34.",Lappalainen 2015,Population: <80% first-line treatment
"Lemmens, 2015","Lemmens LHJM, Arntz A, Peeters F, Hollon SD, Roefs A, Huibers MJH. Clinical effectiveness of cognitive therapy v. interpersonal psychotherapy for depression: Results of a randomized controlled trial. Psychological Medicine. 2015;45(10):2095-110.",Lemmens 2015/2019,Population: >20% have coexisting personality disorder
"Lexis, 2011","Lexis MA, Jansen NW, Huibers MJ, Amelsvoort LG, Berkouwer A, Tjin ATG, et al. Prevention of long-term sickness absence and major depression in high-risk employees: A randomised controlled trial. Occupational and Environmental Medicine. 2011;68(6):400-7.",Lexis 2011,Setting not relevant
"Liu, 2009","Liu ET-H, Chen W-L, Li Y-H, Wang CH, Mok TJ, Huang HS. Exploring the efficacy of cognitive bibliotherapy and a potential mechanism of change in the treatment of depressive symptoms among the Chinese: A randomized controlled trial. Cognitive Therapy and Research. 2009;33(5):449-61.",Liu 2009b,Outcome(s) not of interest
"Lovell, 2008","Lovell K, Bower P, Richards D, Barkham Mi, Sibbald B, Roberts C, et al. Developing guided self-help for depression using the medical research council complex interventions framework: A description of the modelling phase and results of an exploratory randomised controlled trial. BMC psychiatry. 2008;8.",Lovell 2008,Population: <80% first-line treatment
"Luty, 2007","Luty SE, Carter JD, McKenzie JM, Rae AM, Frampton CM, Mulder RT, et al. Randomised controlled trial of interpersonal psychotherapy and cognitive-behavioural therapy for depression. The British Journal of Psychiatry. 2007;190:496-502.",Luty 2007,Population: <80% non-chronic depression
"Ly, 2014","Ly KH, Truschel A, Jarl L, Magnusson S, Windahl T, Johansson R, et al. Behavioural activation versus mindfulness-based guided self-help treatment administered through a smartphone application: A randomised controlled trial. BMJ Open. 2014;4(1):e003440.",Ly 2014,Population: <80% first-line treatment
"Lynch, 2004","Lynch D, Tamburrino M, Nagel R, Smith MK. Telephone-based treatment for family practice patients with mild depression. Psychological reports. 2004;94(3 Pt 1):785-92.",Lynch 2004,Sample size N<10 per arm
"MacPherson, 2013","MacPherson H, Richmond S, Bland M, Brealey S, Gabe R, Hopton A, et al. Acupuncture and counselling for depression in primary care: A randomised controlled trial. PLoS medicine. 2013;10(9):e1001518.",MacPherson 2013,Population: <80% first-line treatment
"Maina, 2005","Maina G, Forner F, Bogetto F. Randomized controlled trial comparing brief dynamic and supportive therapy with waiting list condition in minor depressive disorders. Psychotherapy and Psychosomatics. 2005;74(1):43-50.",Maina 2005,Population: <80% non-chronic depression
"Manicavasgar, 2011","Manicavasgar V, Parker G, Perich T. Mindfulness-based cognitive therapy vs cognitive behaviour therapy as a treatment for non-melancholic depression. Journal of Affective Disorders. 2011;130(1):138-44.",Manicavasgar 2011/2012,Population: <80% first-line treatment
"Matsuzaka, 2017","Matsuzaka, C., Wainberg, M., Norcini, P. A., Hoffmann, E., Coimbra, B., Braga, R., . . . Mello, M. (2017). Task shifting interpersonal counseling for depression: a pragmatic randomized controlled trial in primary care. BMC Psychiatry, 17(1)",Matsuzaka 2017,Data cannot be extracted
"McClay, 2015","McClay CA, Collins K, Matthews L, Haig C, McConnachie A, Morrison J, et al. A community-based pilot randomised controlled study of life skills classes for individuals with low mood and depression. BMC psychiatry. 2015;15:17.",McClay 2015,Population: <80% first-line treatment
"McLean, 1979","McLean PD, Hakstian AR. Clinical depression: Comparative efficacy of outpatient treatments. Journal of Consulting and Clinical Psychology. 1979;47(5):818-36.",McLean 1979,Design: Non-RCT
"Miller, 2002","Miller L, Weissman M. Interpersonal psychotherapy delivered over the telephone to recurrent depressives. A pilot study. Depression and anxiety. 2002;16(3):114-7.",Miller 2002,Population: <80% non-chronic depression
"Mohr, 2001","Mohr DC, Boudewyn AC, Goodkin DE, Bostrom A, Epstein L. Comparative outcomes for individual cognitive-behavior therapy, supportive-expressive group psychotherapy, and sertraline for the treatment of depression in multiple sclerosis. Journal of Consulting and Clinical Psychology. 2001;69(6):942-9.",Mohr 2001,Population: Trial specifically recruited participants with physical health conditions in addition to depression
"Mohr, 2005","Mohr DC, Hart SL, Julian L, Catledge C, Honos-Webb L, Vella L, et al. Telephone-administered psychotherapy for depression. Archives of General Psychiatry. 2005;62(9):1007-14.",Mohr 2005,Population: Trial specifically recruited participants with physical health conditions in addition to depression
"Mohr, 2013","Mohr DC, Duffecy J, Ho J, Kwasny M, Cai X, Burns MN, et al. A randomized controlled trial evaluating a manualized TeleCoaching protocol for improving adherence to a web-based intervention for the treatment of depression. PLoS One. 2013;8(8):e70086.",Mohr 2013,Population: <80% first-line treatment
"Montero-Marín, 2016","Montero-Marín, J., Araya, R., Pérez-Yus, M. C., Mayoral, F., Gili, M., Botella, C., . . . López-Del-Hoyo, Y. (2016). An internet-based intervention for depression in primary Care in Spain: a randomized controlled trial. Journal of medical Internet research, 18(8), e231.",Montero-Marin 2016,Population: Further-line treatment
"Mossey, 1996","Mossey JM, Knott KA, Higgins M, Talerico K. Effectiveness of a psychosocial intervention, interpersonal counseling, for subdysthymic depression in medically ill elderly. The journals of gerontology Series A, Biological sciences and medical sciences. 1996;51(4):M172-8.",Mossey 1996,Population: Trial specifically recruited participants with physical health conditions in addition to depression
"Mukhtar, 2011",Mukhtar F. Predictors of group cognitive behaviour therapy outcomes for the treatment of depression in Malaysia. Asian Journal of Psychiatry. 2011;4(2):125-8.,Mukhtar 2011a,Data cannot be extracted
"Mulcahy, 2010","Mulcahy R, Reay RE, Wilkinson RB, Owen C. A randomised control trial for the effectiveness of group interpersonal psychotherapy for postnatal depression. Archives of Women's Mental Health. 2010;13(2):125-39.",Mulcahey 2010,Population: Antenatal or postnatal depression
"Neugebauer, 2006","Neugebauer R, Kline J, Markowitz JC, Bleiberg KL, Baxi L, Rosing MA, et al. Pilot randomized controlled trial of interpersonal counseling for subsyndromal depression following miscarriage. Journal of Clinical Psychiatry. 2006;67(8):1299-304.",Neugebauer 2006,Sample size N<10 per arm
"Newby, 2014","Newby JM, Lang T, Werner-Seidler A, Holmes E, Moulds ML. Alleviating distressing intrusive memories in depression: A comparison between computerised cognitive bias modification and cognitive behavioural education. Behaviour Research and Therapy. 2014;56:60-7.",Newby 2014b,Population: <80% first-line treatment
"Nezu, 1986",Nezu AM. Efficacy of a social problem-solving therapy approach for unipolar depression. Journal of Consulting and Clinical Psychology. 1986;54(2):196-202.,Nezu 1986,Sample size N<10 per arm
"Ng, 2013","Ng SE, Tien A, Thayala JN, Ho RC, Chan MF. The effect of life story review on depression of older community-dwelling Chinese adults in Singapore: A preliminary result. International Journal of Geriatric Psychiatry. 2013;28(3):328-30.",Ng 2013,Intervention: Psychological intervention not of interest
"O'Hara, 2000","O'Hara MW, Stuart S, Gorman LL, Wenzel A. Efficacy of interpersonal psychotherapy for postpartum depression. Archives of General Psychiatry. 2000;57(11):1039-45.",O'Hara 2000,Population: Antenatal or postnatal depression
"Omidi, 2013","Omidi A, Mohammadkhani P, Mohammadi A, Zargar F. Comparing mindfulness based cognitive therapy and traditional cognitive behavior therapy with treatments as usual on reduction of major depressive disorder symptoms. Iranian Red Crescent Medical Journal. 2013;15(2):142-6.",Omidi 2013,Population: Further-line treatment
"Padfield, 1976",Padfield M. The comparative effects of two counseling approaches on the intensity of depression among rural women of low socioeconomic status. Journal of Counseling Psychology. 1976;23(3):209.,Padfield 1976,Outcome measure(s) outside protocol
"Pecheur, 1984","Pecheur DR, Edwards KJ. A comparison of secular and religious versions of cognitive therapy with depressed Christian college students. Journal of Psychology and Theology. 1984.",Pecheur 1984,Sample size N<10 per arm
"Peden, 2000","Peden AR, Hall LA, Rayens MK, Beebe LL. Reducing negative thinking and depressive symptoms in college women. Journal of Nursing Scholarship. 2000;32(2):145-51.",Peden 2000,Data cannot be extracted
"Perini, 2009","Perini S, Titov N, Andrews G. Clinician-assisted Internet-based treatment is effective for depression: Randomized controlled trial. Australian and New Zealand Journal of Psychiatry. 2009;43(6):571-8.",Perini 2009,Population: <80% first-line treatment
"Pots, 2016","Pots WT, Fledderus M, Meulenbeek PA, ten Klooster PM, Schreurs KM, Bohlmeijer ET. Acceptance and commitment therapy as a web-based intervention for depressive symptoms: Randomised controlled trial. The British Journal of Psychiatry. 2016;208(1):69-77.",Pots 2016b,Secondary analysis with no new relevant or usable data
